state,year,private_establishments,private_employment,source_url
KS,2023,91548.0,1174143.0,https://data.bls.gov/cew/data/api/2023/a/area/20000.csv
KS,2024,94959.0,1182582.0,https://data.bls.gov/cew/data/api/2024/a/area/20000.csv
KY,2017,115652.0,1580021.0,https://data.bls.gov/cew/data/api/2017/a/area/21000.csv
KY,2018,116519.0,1592256.0,https://data.bls.gov/cew/data/api/2018/a/area/21000.csv
KY,2019,117176.0,1606510.0,https://data.bls.gov/cew/data/api/2019/a/area/21000.csv
KY,2020,121622.0,1511919.0,https://data.bls.gov/cew/data/api/2020/a/area/21000.csv
KY,2021,128238.0,1580042.0,https://data.bls.gov/cew/data/api/2021/a/area/21000.csv
KY,2022,137021.0,1640191.0,https://data.bls.gov/cew/data/api/2022/a/area/21000.csv
KY,2023,146057.0,1680021.0,https://data.bls.gov/cew/data/api/2023/a/area/21000.csv
KY,2024,152232.0,1693939.0,https://data.bls.gov/cew/data/api/2024/a/area/21000.csv
LA,2017,124638.0,1598324.0,https://data.bls.gov/cew/data/api/2017/a/area/22000.csv
LA,2018,126194.0,1612079.0,https://data.bls.gov/cew/data/api/2018/a/area/22000.csv
LA,2019,128870.0,1612743.0,https://data.bls.gov/cew/data/api/2019/a/area/22000.csv
LA,2020,132434.0,1479871.0,https://data.bls.gov/cew/data/api/2020/a/area/22000.csv
LA,2021,137287.0,1520908.0,https://data.bls.gov/cew/data/api/2021/a/area/22000.csv
LA,2022,143196.0,1571606.0,https://data.bls.gov/cew/data/api/2022/a/area/22000.csv
LA,2023,148103.0,1594324.0,https://data.bls.gov/cew/data/api/2023/a/area/22000.csv
LA,2024,149265.0,1615842.0,https://data.bls.gov/cew/data/api/2024/a/area/22000.csv
MA,2017,245399.0,3115338.0,https://data.bls.gov/cew/data/api/2017/a/area/25000.csv
MA,2018,249913.0,3156298.0,https://data.bls.gov/cew/data/api/2018/a/area/25000.csv
MA,2019,253655.0,3204634.0,https://data.bls.gov/cew/data/api/2019/a/area/25000.csv
MA,2020,255460.0,2907984.0,https://data.bls.gov/cew/data/api/2020/a/area/25000.csv
MA,2021,269214.0,3039122.0,https://data.bls.gov/cew/data/api/2021/a/area/25000.csv
MA,2022,282469.0,3168350.0,https://data.bls.gov/cew/data/api/2022/a/area/25000.csv
MA,2023,284573.0,3200846.0,https://data.bls.gov/cew/data/api/2023/a/area/25000.csv
MA,2024,276202.0,3198628.0,https://data.bls.gov/cew/data/api/2024/a/area/25000.csv
MD,2017,168653.0,2167072.0,https://data.bls.gov/cew/data/api/2017/a/area/24000.csv
MD,2018,169835.0,2188298.0,https://data.bls.gov/cew/data/api/2018/a/area/24000.csv
MD,2019,172619.0,2207512.0,https://data.bls.gov/cew/data/api/2019/a/area/24000.csv
MD,2020,171263.0,2031687.0,https://data.bls.gov/cew/data/api/2020/a/area/24000.csv
MD,2021,173076.0,2099419.0,https://data.bls.gov/cew/data/api/2021/a/area/24000.csv
MD,2022,185715.0,2156462.0,https://data.bls.gov/cew/data/api/2022/a/area/24000.csv
MD,2023,186364.0,2191362.0,https://data.bls.gov/cew/data/api/2023/a/area/24000.csv
MD,2024,192176.0,2238248.0,https://data.bls.gov/cew/data/api/2024/a/area/24000.csv
ME,2017,50873.0,513363.0,https://data.bls.gov/cew/data/api/2017/a/area/23000.csv
ME,2018,49812.0,518990.0,https://data.bls.gov/cew/data/api/2018/a/area/23000.csv
ME,2019,50458.0,524449.0,https://data.bls.gov/cew/data/api/2019/a/area/23000.csv
ME,2020,51243.0,489372.0,https://data.bls.gov/cew/data/api/2020/a/area/23000.csv
ME,2021,55055.0,515127.0,https://data.bls.gov/cew/data/api/2021/a/area/23000.csv
ME,2022,58994.0,530043.0,https://data.bls.gov/cew/data/api/2022/a/area/23000.csv
ME,2023,60972.0,540991.0,https://data.bls.gov/cew/data/api/2023/a/area/23000.csv
ME,2024,62343.0,548061.0,https://data.bls.gov/cew/data/api/2024/a/area/23000.csv
MI,2017,237389.0,3734432.0,https://data.bls.gov/cew/data/api/2017/a/area/26000.csv
MI,2018,240953.0,3776481.0,https://data.bls.gov/cew/data/api/2018/a/area/26000.csv
MI,2019,253967.0,3790764.0,https://data.bls.gov/cew/data/api/2019/a/area/26000.csv
MI,2020,259470.0,3426882.0,https://data.bls.gov/cew/data/api/2020/a/area/26000.csv
MI,2021,264942.0,3594670.0,https://data.bls.gov/cew/data/api/2021/a/area/26000.csv
MI,2022,287758.0,3749727.0,https://data.bls.gov/cew/data/api/2022/a/area/26000.csv
MI,2023,315870.0,3815843.0,https://data.bls.gov/cew/data/api/2023/a/area/26000.csv
MI,2024,292907.0,3824885.0,https://data.bls.gov/cew/data/api/2024/a/area/26000.csv
MN,2017,160983.0,2473604.0,https://data.bls.gov/cew/data/api/2017/a/area/27000.csv
MN,2018,168785.0,2498328.0,https://data.bls.gov/cew/data/api/2018/a/area/27000.csv
MN,2019,171592.0,2516107.0,https://data.bls.gov/cew/data/api/2019/a/area/27000.csv
MN,2020,175163.0,2339149.0,https://data.bls.gov/cew/data/api/2020/a/area/27000.csv
MN,2021,178933.0,2410401.0,https://data.bls.gov/cew/data/api/2021/a/area/27000.csv
MN,2022,193074.0,2483988.0,https://data.bls.gov/cew/data/api/2022/a/area/27000.csv
MN,2023,201471.0,2525724.0,https://data.bls.gov/cew/data/api/2023/a/area/27000.csv
