state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,first_treatment_year,treated,event_time,cohort
MA,2022,1688,1484,1766,182919.0,3396919.0,9.228128297224453,9.654546547925586,8.1128805646215,inf,0,,0
MA,2023,1633,1437,1712,183767.0,3487228.0,8.886252700430436,9.31614490087992,7.819684709441848,inf,0,,0
MA,2024,1716,1210,1770,183767.0,3487228.0,9.337911594573564,9.631761959437766,6.584424842327513,inf,0,,0
MD,2017,963,941,1060,139446.0,2335479.0,6.905899057699755,7.601508827789969,6.748131893349397,2022.0,0,-5.0,2022
MD,2018,961,933,1042,139497.0,2366053.0,6.889037040223088,7.469694688774669,6.688315877760812,2022.0,0,-4.0,2022
MD,2019,1005,969,1094,139449.0,2380865.0,7.206935869027387,7.845162030563145,6.948776972226406,2022.0,0,-3.0,2022
MD,2020,975,918,1050,139734.0,2405968.0,6.9775430460732535,7.514277126540427,6.569625144918201,2022.0,0,-2.0,2022
MD,2021,1199,1107,1259,141217.0,2283019.0,8.490479191598746,8.915357216199183,7.838999553878074,2022.0,0,-1.0,2022
MD,2022,1399,1257,1455,142481.0,2436501.0,9.818853040054464,10.21188790084292,8.82222892876945,2022.0,1,0.0,2022
MD,2023,1625,1451,1666,142967.0,2468367.0,11.366259346562494,11.653038813152685,10.149195268838264,2022.0,1,1.0,2022
MD,2024,1662,1256,1716,142967.0,2468367.0,11.6250603286073,12.002769869969994,8.785244147250765,2022.0,1,2.0,2022
ME,2017,199,198,213,41622.0,513745.0,4.781125366392772,5.117485944932969,4.75709961078276,2024.0,0,-7.0,2024
ME,2018,182,175,192,41727.0,516240.0,4.361684281160879,4.601337263642246,4.193927193423922,2024.0,0,-6.0,2024
ME,2019,176,168,188,41843.0,522191.0,4.206199364290323,4.4929856845828455,4.015008484095309,2024.0,0,-5.0,2024
ME,2020,173,169,184,41646.0,520969.0,4.154060413965326,4.418191422945781,4.0580127743360705,2024.0,0,-4.0,2024
ME,2021,253,236,270,42519.0,504710.0,5.950281050824338,6.350102307203839,5.550459794444836,2024.0,0,-3.0,2024
ME,2022,246,218,260,43185.0,533151.0,5.696422368878083,6.020609007757323,5.048049091119602,2024.0,0,-2.0,2024
ME,2023,295,262,310,43345.0,548469.0,6.80585996077979,7.151920636751644,6.044526473641712,2024.0,0,-1.0,2024
ME,2024,471,362,483,43345.0,548469.0,10.866305225516207,11.14315376629369,8.351597646787404,2024.0,1,0.0,2024
MI,2017,1192,1160,1324,222553.0,3859949.0,5.356027552987379,5.949144698116854,5.212241578410536,inf,0,,0
MI,2018,1206,1168,1294,222656.0,3947891.0,5.416427134233976,5.811655648174763,5.245760275941362,inf,0,,0
MI,2019,1136,1082,1263,222226.0,3978872.0,5.111913097477343,5.683403382142504,4.868917228407118,inf,0,,0
