state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,qcew_establishments,qcew_employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,new_401k_per_1000_qcew_establishments,esrp_rate_per_1000_qcew_estabs,with_employees_rate_per_1000_qcew_estabs,first_treatment_year,treated,event_time,cohort
NJ,2020,1587,1491,1795,232761.0,3819722.0,277684.0,3205532.0,6.8181525255519615,7.71177302039431,6.405712297163185,5.71512942769479,6.464182307947163,5.369412713732157,2024.0,0,-4.0,2024
NJ,2021,1910,1781,2102,233950.0,3570543.0,291231.0,3384067.0,8.164137636247062,8.984825817482369,7.61273776447959,6.558367756179803,7.217638232193688,6.115420405107973,2024.0,0,-3.0,2024
NJ,2022,2236,2051,2375,237499.0,3813702.0,307423.0,3581671.0,9.414776483269403,10.000042105440443,8.635825835056147,7.273366013603407,7.725511754162831,6.671589308542301,2024.0,0,-2.0,2024
NJ,2023,2001,1827,2119,237968.0,3945019.0,313888.0,3648355.0,8.408693605862974,8.904558596113763,7.677502857527062,6.374885309409725,6.750815577530839,5.820547456417575,2024.0,0,-1.0,2024
NJ,2024,2129,1722,2241,237968.0,3945019.0,320477.0,3678973.0,8.946581052914679,9.41723256908492,7.236267061117461,6.6432224465406255,6.992701504320123,5.3732405133597725,2024.0,1,0.0,2024
NM,2017,150,143,163,44039.0,626466.0,53995.0,633035.0,3.4060718908240424,3.7012647880287926,3.247121869252254,2.778035003241041,3.0187980368552645,2.6483933697564592,inf,0,,0
NM,2018,160,160,175,43830.0,631393.0,56219.0,645435.0,3.650467716176135,3.9926990645676477,3.650467716176135,2.8460129137835963,3.1128266244508085,2.8460129137835963,inf,0,,0
NM,2019,170,165,190,43804.0,644537.0,58802.0,658241.0,3.880924116519039,4.337503424344809,3.766779289562597,2.8910581272745826,3.231182612836298,2.8060270058841534,inf,0,,0
NM,2020,188,178,203,43587.0,651756.0,59515.0,609323.0,4.313212655149472,4.657351962741184,4.083786450088329,3.1588675123918337,3.4109048139124587,2.990842644711417,inf,0,,0
NM,2021,178,169,188,43953.0,606085.0,60595.0,627202.0,4.0497804472959755,4.277296202762042,3.8450162673765163,2.9375361003383116,3.102566218334846,2.789008994141431,inf,0,,0
NM,2022,231,201,245,44850.0,639118.0,63668.0,660670.0,5.150501672240803,5.462653288740245,4.481605351170569,3.6281962681409814,3.8480869510586166,3.1570019476031916,inf,0,,0
NM,2023,200,177,212,44861.0,658702.0,63375.0,678698.0,4.458215376384833,4.725708298967922,3.945520608100577,3.1558185404339247,3.3451676528599608,2.7928994082840237,inf,0,,0
